店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
洋食堂葡萄 神楽坂,050-5488-2997,,東京都,新宿区,神楽坂5-30,,,False
香港美食,050-5492-9105,,東京都,千代田区,麹町3-12-12,麹町MビルB1,,False
九州 熱中屋 五反田 LIVE 復活公演,050-5485-9329,kuro-gotanda@diamond-dining.com,東京都,品川区,東五反田1-14-14,北原ビルB1,https://www.dd-holdings.jp/shops/nechuya/gotandafukkatsu,True
南風花（はいばな） アクアシティお台場店,050-5485-7415,,東京都,港区,台場1-7-1,アクアシティお台場1F,http://www.aquacity.jp/,False
個室居酒屋 卓上サーバーと炭火焼鳥食べ放題 乾杯500酒場 神田店,050-5484-3021,,東京都,千代田区,内神田3-21-8,有田ビル2F,,False
くいもの屋わん 高円寺北口店,050-5484-5686,,東京都,杉並区,高円寺北3-22-19,利研ビル2F,http://www.oizumifoods.co.jp/,False
仙台牛タンと京風出汁おでん タンの利久 新橋店,050-5488-0826,,東京都,港区,新橋3-14-5,S'TEC3 6F,,False
47都道府県の厳選食材 全席個室 夜景居酒屋 雅邸 品川,050-5487-8053,,東京都,港区,港南2-2-1,ミナトビル6F,,False
豊洲直送鮮魚 東京夜市 大泉学園,050-5492-1034,,東京都,練馬区,東大泉5-36-10,,,False
鳥光國 秋葉原アキバトリム店,050-5487-9994,,東京都,千代田区,神田佐久間町1-6-5,TX秋葉原阪急ビル5F,,False
結月庵 大崎ThinkParkTower店,050-5484-8517,,東京都,品川区,大崎2-1-1,ThinkPark 1F,,False
KICHIRI 秋葉原店,050-5485-3199,,東京都,千代田区,神田佐久間町1-13,chomp chomp AKIHABARA 3F,http://www.kichiri.com/,False
個室居酒屋 くいもの屋わん コビルナ町田店,050-5484-9243,,東京都,町田市,原町田6-9-19,コビルナ町田ビルB1,http://www.oizumifoods.co.jp/,False
【個室居酒屋】120種食べ飲み放題2500円 鳥天国 池袋店,050-5488-3890,,東京都,豊島区,南池袋1-20-11,池第五ビル5F,,False
